Scientific Name,Common Name,Family,Taxonomic Group
Tringa totanus,Common Redshank,Scolopacidae,Birds
Houbaropsis bengalensis,Bengal Florican,Otididae,Birds
Monticola solitarius,Blue Rock Thrush,Muscicapidae,Birds
Prinia socialis,Ashy Prinia,Cisticolidae,Birds
Mesophoyx intermedia,Intermediate Egret,Ardeidae,Birds
Acridotheres ginginianus,Bank Myna,Sturnidae,Birds
Leiothrix lutea,Pekin Robin,Timaliidae,Birds
Blythipicus pyrrhotis,Bay Woodpecker,Picidae,Birds
Sitta frontalis,Sulphur-Billed Nuthatch,Sittidae,Birds
Haliaeetus leucoryphus,Pallas Sea-Eagle,Accipitridae,Birds
Motacilla cinerea,Grey Wagtail,Motacillidae,Birds
Leiothrix argentauris,Silver-Eared Mesia,Timaliidae,Birds
Turdoides malcolmi,Large Grey Babbler,Timaliidae,Birds
Acrocephalus stentoreus,Clamorous Reed Warbler,Sylviidae,Birds
Paradoxornis gularis,Grey-Headed Parrotbill,Timaliidae,Birds
Cutia nipalensis,Cutia,Timaliidae,Birds
Paradoxornis unicolor,Brown Parrotbill,Timaliidae,Birds
Phalacrocorax fuscicollis,Indian Cormorant,Phalacrocoracidae,Birds
Oriolus oriolus,Eurasian Golden Oriole,Oriolidae,Birds
Gecinulus grantia,Pale Headed Woodpecker,Picidae,Birds
Lophotriorchis kienerii,Rufous-Bellied Eagle,Accipitridae,Birds
Oenanthe isabellina,Isabelline Wheatear,Muscicapidae,Birds
Stachyris ruficeps,Rufous-Capped Babbler,Timaliidae,Birds
Yuhina occipitalis,Rufous-Vented Yuhina,Timaliidae,Birds
Pnoepyga albiventer,Scaly-Breasted Wren-Babbler,Timaliidae,Birds
Certhia familiaris,Eurasian Treecreeper,Certhiidae,Birds
Phaenicophaeus leschenaultii,Sirkeer Cuckoo,Cuculidae,Birds
Botaurus stellaris,Bittern,Ardeidae,Birds
Charadrius placidus,Long-Billed Plover,Charadriidae,Birds
Pericrocotus solaris,Grey-Chinned Minivet,Campephagidae,Birds
Tringa ochropus,Green Sandpiper,Scolopacidae,Birds
Alcippe cinerea,Yellow-Throated Fulvetta,Timaliidae,Birds
Parus rufonuchalis,Black-Breasted Tit,Paridae,Birds
Stigmatopelia chinensis,Spotted Dove,Columbidae,Birds
Chrysococcyx maculatus,Asian Emerald Cuckoo,Cuculidae,Birds
Otus bakkamoena,Collared Scops Owl,Strigidae,Birds
Bubulcus ibis,Cattle Egret,Ardeidae,Birds
Tyto longimembris,Eastern Grass Owl,Tytonidae,Birds
Monticola rufiventris,Chestnut-Bellied Rock-Thrush,Muscicapidae,Birds
Prinia atrogularis,Hill Prinia,Cisticolidae,Birds
Gyps tenuirostris,Slender-Billed Vulture,Accipitridae,Birds
Grus virgo,Demoiselle Crane,Gruidae,Birds
Tesia olivea,Slaty-Bellied Tesia,Sylviidae,Birds
Cettia brunnifrons,Grey-Sided Bush-Warbler,Sylviidae,Birds
Anas clypeata,Northern Shoveler,Anatidae,Birds
Phylloscopus inornatus,Yellow-Browed Warbler,Sylviidae,Birds
Ficedula hyperythra,Snowy-Browed Flycatcher,Muscicapidae,Birds
Anthreptes singalensis,Ruby-Cheeked Sunbird,Nectariniidae,Birds
Ciconia ciconia,White Stork,Ciconiidae,Birds
Jynx torquilla,Eurasian Wryneck,Picidae,Birds
Prunella rubeculoides,Robin Accentor,Prunellidae,Birds
Coracias benghalensis,Indian Roller,Coraciidae,Birds
Columba leuconota,Snow Pigeon,Columbidae,Birds
Carpodacus rodopeplus,Spot-Winged Rosefinch,Fringillidae,Birds
Columba hodgsonii,Speckled Wood-Pigeon,Columbidae,Birds
Nycticorax nycticorax,Black-Crowned Night-Heron,Ardeidae,Birds
Ibidorhyncha struthersii,Ibisbill,Ibidorhynchidae,Birds
Montifringilla nivalis,White-Winged Snowfinch,Passeridae,Birds
Pellorneum ruficeps,Puff-Throated Babbler,Timaliidae,Birds
Pyrrhoplectes epauletta,Gold-Naped Finch,Fringillidae,Birds
Dendrocopos darjellensis,Brown-Throated Woodpecker,Picidae,Birds
Garrulax squamatus,Blue-Winged Laughingthrush,Timaliidae,Birds
Zoothera marginata,Dark-Sided Thrush,Turdidae,Birds
Phaenicophaeus tristis,Green-Billed Malkoha,Cuculidae,Birds
Coracina macei,Javan Cuckoo-Shrike,Campephagidae,Birds
Arborophila rufogularis,Rufous-Throated Partridge,Phasianidae,Birds
Arborophila mandellii,Chestnut-Breasted Partridge,Phasianidae,Birds
Ploceus megarhynchus,Finn's Weaver,Ploceidae,Birds
Cyornis poliogenys,Brook's Niltava,Muscicapidae,Birds
Megalaima lineata,Lineated Barbet,Ramphastidae,Birds
Plegadis falcinellus,Glossy Ibis,Threskiornithidae,Birds
Centropus sinensis,Common Coucal,Cuculidae,Birds
Glaucidium cuculoides,Cuckoo Owlet,Strigidae,Birds
Pyrrhula erythrocephala,Red-Headed Bullfinch,Fringillidae,Birds
Megalaima asiatica,Blue-Throated Barbet,Ramphastidae,Birds
Dicaeum agile,Thick-Billed Flowerpecker,Dicaeidae,Birds
Prinia sylvatica,Jungle Prinia,Cisticolidae,Birds
Spelaeornis caudatus,Rufous-Throated Wren-Babbler,Timaliidae,Birds
Melophus lathami,Crested Bunting,Emberizidae,Birds
Rostratula benghalensis,Painted-Snipe,Rostratulidae,Birds
Mulleripicus pulverulentus,Great Slaty Woodpecker,Picidae,Birds
Garrulax monileger,Leser Necklaced Laughingthrush,Timaliidae,Birds
Cettia pallidipes,Pale-Footed Bush-Warbler,Sylviidae,Birds
Ploceus philippinus,Baya Weaver,Ploceidae,Birds
Phoenicurus ochruros,Black Redstart,Muscicapidae,Birds
Alcippe castaneceps,Chestnut-Headed Fulvetta,Timaliidae,Birds
Athene brama,Spotted Owlet,Strigidae,Birds
Cisticola juncidis,Zitting Cisticola,Cisticolidae,Birds
Muscicapella hodgsoni,Pygmy Blue-Flycatcher,Muscicapidae,Birds
Rhipidura albicollis,White-Throated Fantail,Rhipiduridae,Birds
Aquila rapax,Tawny Eagle,Accipitridae,Birds
Tachybaptus ruficollis,Little Grebe,Podicipedidae,Birds
Serinus pusillus,Red-Fronted Serin,Fringillidae,Birds
Anser anser,Greylag Goose,Anatidae,Birds
Pinicola subhimachala,Crimson-Browed Finch,Fringillidae,Birds
Amaurornis akool,Brown Crake,Rallidae,Birds
Megalaima haemacephala,Coppersmith Barbet,Ramphastidae,Birds
Gallinago stenura,Pintail Snipe,Scolopacidae,Birds
Vanellus cinereus,Grey-Headed Lapwing,Charadriidae,Birds
Tadorna ferruginea,Ruddy Shelduck,Anatidae,Birds
Phoenicurus frontalis,Blue-Fronted Redstart,Muscicapidae,Birds
Pelecanus philippensis,Grey Pelican,Pelecanidae,Birds
Yuhina flavicollis,Burmese Yuhina,Timaliidae,Birds
Charadrius alexandrinus,Kentish Plover,Charadriidae,Birds
Monticola cinclorhynchus,Blue-Capped Rock-Thrush,Muscicapidae,Birds
Alauda gulgula,Oriental Skylark,Alaudidae,Birds
Xiphirhynchus superciliaris,Slender-Billed Scimitar-Babbler,Timaliidae,Birds
Prinia cinereocapilla,Hodgson's Long-Tailed Warbler,Cisticolidae,Birds
Podiceps nigricollis,Black-Necked Grebe,Podicipedidae,Birds
Motacilla alba,White Wagtail,Motacillidae,Birds
Hieraaetus pennatus,Booted Eagle,Accipitridae,Birds
Abroscopus albogularis,Rufous-Faced Warbler,Sylviidae,Birds
Aegithina tiphia,Common Iora,Aegithinidae,Birds
Cettia flavolivacea,Aberrant Bush-Warbler,Sylviidae,Birds
Treron apicauda,Pin-Tailed Pigeon,Columbidae,Birds
Dicrurus caerulescens,White-Bellied Drongo,Dicruridae,Birds
Mycerobas affinis,Allied Grosbeak,Fringillidae,Birds
Phoenicurus erythronotus,Eversmann's Redstart,Muscicapidae,Birds
