Scientific Name,Common Name,Family,Taxonomic Group
Theretra boisduvalii,null,Sphingidae,Sphingid moths
Acosmeryx naga,null,Sphingidae,Sphingid moths
Rhodambulyx schnitzleri,null,Sphingidae,Sphingid moths
Cypa uniformis,null,Sphingidae,Sphingid moths
Acosmeryx pseudonaga,null,Sphingidae,Sphingid moths
Cypoides parachinensis,null,Sphingidae,Sphingid moths
Marumba spectabilis,null,Sphingidae,Sphingid moths
Acosmeryx omissa,null,Sphingidae,Sphingid moths
Theretra castanea,null,Sphingidae,Sphingid moths
Neogurelca hyas,null,Sphingidae,Sphingid moths
Eupanacra malayana,null,Sphingidae,Sphingid moths
Cechenena lineosa,null,Sphingidae,Sphingid moths
Ambulyx tobii,null,Sphingidae,Sphingid moths
Acherontia lachesis,Death's-Head Hawkmoth,Sphingidae,Sphingid moths
Macroglossum gyrans,null,Sphingidae,Sphingid moths
Sataspes infernalis,null,Sphingidae,Sphingid moths
Callambulyx junonia,null,Sphingidae,Sphingid moths
Langia zenzeroides,null,Sphingidae,Sphingid moths
Eupanacra metallica,null,Sphingidae,Sphingid moths
Sphinx ligustri,Privet Hawk Moth,Sphingidae,Sphingid moths
Sataspes tagalica,null,Sphingidae,Sphingid moths
Rhodoprasina callantha,null,Sphingidae,Sphingid moths
Daphnis nerii,Oleander Hawkmoth,Sphingidae,Sphingid moths
Theretra clotho,null,Sphingidae,Sphingid moths
Theretra nessus,Yam Hawk Moth,Sphingidae,Sphingid moths
Clanis schwartzi,null,Sphingidae,Sphingid moths
Eurypteryx bhaga,null,Sphingidae,Sphingid moths
Neogurelca himachala,null,Sphingidae,Sphingid moths
Ambulyx placida,null,Sphingidae,Sphingid moths
Macroglossum troglodytus,null,Sphingidae,Sphingid moths
Neogurelca masuriensis,null,Sphingidae,Sphingid moths
Theretra alecto,null,Sphingidae,Sphingid moths
Macroglossum stellatarum,Hummingbird Hawk-Moth,Sphingidae,Sphingid moths
Cephonodes hylas,null,Sphingidae,Sphingid moths
Hippotion rafflesii,null,Sphingidae,Sphingid moths
Rhodoprasina floralis,null,Sphingidae,Sphingid moths
Sphingonaepiopsis pumilio,null,Sphingidae,Sphingid moths
Rhagastis lunata,null,Sphingidae,Sphingid moths
Daphnis hypothous,null,Sphingidae,Sphingid moths
Ambulyx maculifera,null,Sphingidae,Sphingid moths
Craspedortha porphyria,null,Sphingidae,Sphingid moths
Clanis undulosa,null,Sphingidae,Sphingid moths
Hippotion celerio,Silver-Striped Hawk-Moth,Sphingidae,Sphingid moths
Sataspes xylocoparis,null,Sphingidae,Sphingid moths
Sphinx centrosinaria,null,Sphingidae,Sphingid moths
Rhagastis castor,null,Sphingidae,Sphingid moths
Hyles livornica,Striped Hawk-Moth,Sphingidae,Sphingid moths
Eupanacra automedon,null,Sphingidae,Sphingid moths
Cechenena scotti,null,Sphingidae,Sphingid moths
Polyptychus dentatus,null,Sphingidae,Sphingid moths
Megacorma obliqua,null,Sphingidae,Sphingid moths
Theretra suffusa,null,Sphingidae,Sphingid moths
Polyptychus trilineatus,null,Sphingidae,Sphingid moths
Theretra gnoma,null,Sphingidae,Sphingid moths
Eupanacra busiris,null,Sphingidae,Sphingid moths
Ampelophaga dolichoides,null,Sphingidae,Sphingid moths
Marumba sperchius,null,Sphingidae,Sphingid moths
Dolbina inexacta,null,Sphingidae,Sphingid moths
Cizara sculpta,null,Sphingidae,Sphingid moths
Theretra griseomarginata,null,Sphingidae,Sphingid moths
Amplypterus panopus,null,Sphingidae,Sphingid moths
Apocalypsis velox,null,Sphingidae,Sphingid moths
Elibia dolichus,null,Sphingidae,Sphingid moths
Ambulyx lahora,null,Sphingidae,Sphingid moths
Acosmeryx anceus,null,Sphingidae,Sphingid moths
Phyllosphingia dissimilis,null,Sphingidae,Sphingid moths
Parum colligata,null,Sphingidae,Sphingid moths
Dahira obliquifascia,null,Sphingidae,Sphingid moths
Meganoton rubescens,null,Sphingidae,Sphingid moths
Hemaris beresowskii,null,Sphingidae,Sphingid moths
Deilephila elpenor,Elephant Hawk-Moth,Sphingidae,Sphingid moths
Hayesiana triopus,null,Sphingidae,Sphingid moths
Macroglossum nycteris,null,Sphingidae,Sphingid moths
Macroglossum affictitia,null,Sphingidae,Sphingid moths
Theretra silhetensis,Brown-Banded Hunter Hawkmoth,Sphingidae,Sphingid moths
Macroglossum vacillans,null,Sphingidae,Sphingid moths
Macroglossum vicinum,null,Sphingidae,Sphingid moths
Clanis deucalion,null,Sphingidae,Sphingid moths
Angonyx testacea,null,Sphingidae,Sphingid moths
Macroglossum mitchellii,null,Sphingidae,Sphingid moths
Clanidopsis exusta,null,Sphingidae,Sphingid moths
Smerinthulus perversa,null,Sphingidae,Sphingid moths
Macroglossum aquila,null,Sphingidae,Sphingid moths
Macroglossum neotroglodytus,null,Sphingidae,Sphingid moths
Ambulyx interplacida,null,Sphingidae,Sphingid moths
Theretra oldenlandiae,Impatiens Hawk Moth Larva,Sphingidae,Sphingid moths
Hippotion rosetta,Vine Hawk Moth,Sphingidae,Sphingid moths
Agnosia orneus,null,Sphingidae,Sphingid moths
Acosmeryx sericeus,null,Sphingidae,Sphingid moths
Clanis bilineata,null,Sphingidae,Sphingid moths
Ampelophaga rubiginosa,null,Sphingidae,Sphingid moths
Marumba gaschkewitschii,null,Sphingidae,Sphingid moths
Eupanacra sinuata,null,Sphingidae,Sphingid moths
Acosmeryx shervillii,null,Sphingidae,Sphingid moths
Callambulyx rubricosa,null,Sphingidae,Sphingid moths
Macroglossum glaucoptera,null,Sphingidae,Sphingid moths
Hippotion boerhaviae,Hippotion Sphinx Moth,Sphingidae,Sphingid moths
Marumba dyras,null,Sphingidae,Sphingid moths
Degmaptera mirabilis,null,Sphingidae,Sphingid moths
Rhodoprasina nenulfascia,null,Sphingidae,Sphingid moths
Cechenena minor,null,Sphingidae,Sphingid moths
Marumba indicus,null,Sphingidae,Sphingid moths
Cupressus cashmeriana,Chinese Arborvitae,Cupressaceae,Conifers
Podocarpus neriifolius,Oleander Podocarp,Podocarpaceae,Conifers
Larix griffithii,Sikkim Larch,Pinaceae,Conifers
Picea smithiana,Morinda Spruce,Pinaceae,Conifers
Abies pindrow,West Himalayan Fir,Pinaceae,Conifers
Cupressus torulosa,Himalayan Cypress,Cupressaceae,Conifers
Juniperus recurva,Himalayan Weeping Juniper,Cupressaceae,Conifers
Juniperus indica,Black Juniper,Cupressaceae,Conifers
Tsuga dumosa,Himalayan Hemlock,Pinaceae,Conifers
Picea spinulosa,Sikkim Spruce,Pinaceae,Conifers
Pinus roxburghii,Roxburgh's Pine,Pinaceae,Conifers
Abies spectabilis,Himalayan Fir,Pinaceae,Conifers
Taxus wallichiana,Himalayan Yew,Taxaceae,Conifers
Abies densa,Sikkim Fir,Pinaceae,Conifers
Taxus contorta,West Himalayan Yew,Taxaceae,Conifers
Juniperus semiglobosa,Russian Juniper,Cupressaceae,Conifers
Pinus wallichiana,Blue Pine,Pinaceae,Conifers
Juniperus communis,Common Juniper,Cupressaceae,Conifers
Larix potaninii,Chinese Larch,Pinaceae,Conifers
Juniperus pingii,Ping's Juniper,Cupressaceae,Conifers
Juniperus tibetica,Tibetan Juniper,Cupressaceae,Conifers
Cedrus deodara,Deodar,Pinaceae,Conifers
Juniperus squamata,Flaky Juniper,Cupressaceae,Conifers
